"country","article_name","revision_id","article_quality","population"
"Zambia","Template:ZambiaProvincialMinisters",235107991,"Stub",15473900
"Chad","Bir I of Kanem",355319463,"Stub",13707000
"Zimbabwe","Template:Zimbabwe-politician-stub",391862046,"Stub",17354000
"Uganda","Template:Uganda-politician-stub",391862070,"Stub",40141000
"Namibia","Template:Namibia-politician-stub",391862409,"Stub",2482100
"Nigeria","Template:Nigeria-politician-stub",391862819,"Stub",181839400
"Colombia","Template:Colombia-politician-stub",391863340,"Stub",48218000
"Chile","Template:Chile-politician-stub",391863361,"Stub",18025000
"Fiji","Template:Fiji-politician-stub",391863617,"Stub",867000
"Solomon Islands","Template:Solomons-politician-stub",391863809,"Stub",641900
"Palestinian Territory","Information Minister of the Palestinian National Authority",393276188,"Stub",4481195
"Somalia","Template:Somalia-politician-stub",393298432,"Stub",11123000
"Cambodia","Yos Por",393822005,"Stub",15417100
"Slovakia","Template:Slovakia-politician-stub",394482629,"Stub",5424051
"Slovenia","Template:Slovenia-politician-stub",394482891,"Stub",2064000
"Afghanistan","Template:Afghanistan-politician-stub",394580295,"Stub",32247000
"Iraq","Template:Iraq-politician-stub",394580630,"Stub",37056000
"Nepal","Template:Nepal-politician-stub",394580939,"Stub",28039000
"Sri Lanka","Template:SriLanka-politician-stub",394580993,"Stub",20868800
"Laos","Template:Laos-politician-stub",394581284,"Stub",6903049
"Albania","Template:Albania-politician-stub",394581557,"Stub",2892000
"Costa Rica","Template:CostaRica-politician-stub",394587483,"Stub",4832000
"Czech Republic","Julius Gregr",395521877,"Stub",10551227
"Czech Republic","Edvard Gregr",395526568,"Stub",10551227
"Canada","Robert Douglas Cook",401577829,"Stub",35833000
"Tunisia","Template:Tunisia-politician-stub",413885084,"Stub",11026000
"Guatemala","Template:Guatemala-politician-stub",433871129,"Stub",16183752
"Burkina Faso","Template:BurkinaFaso-politician-stub",433871165,"Stub",18450400
"Angola","Template:Angola-politician-stub",435008715,"Stub",2.5e+07
"Panama","Template:Panama-politician-stub",437454659,"Stub",3980000
"Japan","Template:Japan-politician-1980s-stub",437735138,"Stub",126866820
"Indonesia","Template:Indonesia-politician-stub",438305657,"Stub",255741973
"Madagascar","Template:Madagascar-politician-stub",439671509,"Stub",23047400
"Malaysia","Template:Malaysia-politician-stub",439708117,"Stub",30788840
"Gabon","Template:Gabon-politician-stub",440397578,"Stub",1751000
"Germany","Template:Germany-DDP-politician-stub",440594068,"Stub",81132000
"Germany","Template:Germany-Centre-politician-stub",440598656,"Stub",81132000
"Liberia","Template:Liberia-politician-stub",441172886,"Stub",4503000
"Ghana","Template:Ghana-politician-stub",441186581,"Stub",27672800
"Peru","Template:Peru-politician-stub",441771813,"Stub",31151643
"Argentina","Template:Argentina-politician-stub",441995465,"Stub",42426000
"Spain","Template:Catalonia-politician-stub",442411422,"Stub",46368000
"South Africa","Template:SouthAfrica-politician-stub",442913438,"Stub",55041000
"Egypt","List of Grand Viziers of Egypt",442937236,"Stub",89074000
"Costa Rica","Template:CostaRica-mayor-stub",443468553,"Stub",4832000
"Nicaragua","Template:Nicaragua-mayor-stub",443470532,"Stub",6262000
"Afghanistan","Template:Afghanistan-mayor-stub",443496992,"Stub",32247000
"Bangladesh","Template:Bangladesh-mayor-stub",443497423,"Stub",160411000
"Cambodia","Template:Cambodia-mayor-stub",443497605,"Stub",15417100
"India","Template:India-mayor-stub",443498496,"Stub",1314097616
"Iran","Template:Iran-mayor-stub",443499145,"Stub",78483446
"Iraq","Template:Iraq-mayor-stub",443499367,"Stub",37056000
"Argentina","Template:Argentina-mayor-stub",443521996,"Stub",42426000
"Philippines","Template:Philippines-mayor-stub",443628777,"Stub",102965300
"Sri Lanka","Template:SriLanka-mayor-stub",443632023,"Stub",20868800
"Turkey","Template:Turkey-mayor-stub",443633073,"Stub",78215000
"Albania","Template:Albania-mayor-stub",443634517,"Stub",2892000
"Austria","Template:Austria-mayor-stub",443640939,"Stub",8615955
"Azerbaijan","Template:Azerbaijan-mayor-stub",443641865,"Stub",9651000
"Haiti","Template:Haiti-politician-stub",444002354,"Stub",10924000
"Greece","Template:Greece-mayor-stub",444023126,"Stub",11520785
"Hungary","Template:Hungary-mayor-stub",444023605,"Stub",9835030
"Iceland","Template:Iceland-mayor-stub",444023818,"Stub",330828
